PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average Inhibition at 12.3 uM,Standard Deviation,Inhibition at 12.3 uM [1],Inhibition at 12.3 uM [2],Inhibition at 12.3 uM [3]
64,144097095,56947267,C1C[C@@H]([C@@H]([C@]2(C1)C3=CC=CC=C3N(C2=O)CC4=CC=CC=C4)NC(=O)CCC5=CC=CC=C5)OC(=O)C6=NC=CN=C6,Inactive,39,,,8.25,1.54974,6.19996,9.94887,8.59098
65,24814503,5998602,C1=CC=C(C=C1)S(=O)(=O)/N=C\2/C=C(C(=O)C3=CC=CC=C32)NC4=CC=C(C=C4)C(=O)O,Inactive,39,,,8.24,1.90575,7.55368,10.8403,6.32608
66,24780956,5347324,CCOC(=O)N1CCN(CC1)C(=O)/C(=C\C2=CC=CS2)/NC(=O)C3=CC=CS3,Inactive,39,,,8.23,2.73022,4.37176,10.2489,10.074
67,26665249,163121,C1=CN=C(N=C1)SC2=C(C=C(C=C2)[N+](=O)[O-])[N+](=O)[O-],Inactive,38,,,8.16,2.83505,6.18467,12.1701,6.12786
68,57264971,9552809,C1=CC=C(C=C1)C(=O)OC2=CC=C(C=C2)/C=N/NC(=O)C3=CC=CO3,Inactive,38,,,8.16,3.29485,5.07373,12.7267,6.68075
69,24823204,135439723,CC1=NC=C(C=C1)C(=O)N/N=C/C2=CC(=C(C(=C2)OC)O)[N+](=O)[O-],Inactive,37,,,7.92,2.95797,3.78571,9.47066,10.5185
70,87347720,666724,CSCC[C@@H](C(=O)O)NC(=O)CCN1C(=O)C2=CC=CC=C2N=N1,Inactive,37,,,7.86,1.83076,9.91851,5.47054,8.18868
71,121283339,72810,C1=CC2=C(C3=C(C=CC=N3)C(=O)C2=O)N=C1,Inactive,36,,,7.75,2.00132,10.3951,5.55637,7.29491
72,24822758,9582306,CC1=NN=C(N1N)N/N=C/C2=CC=C(C=C2)[N+](=O)[O-],Inactive,36,,,7.74,2.09911,6.02616,10.6924,6.48916
73,24837400,4673237,CC1=C(C=C(C=C1)NC(=S)NCC2=CC=CC=C2)S(=O)(=O)N3CCCCC3,Inactive,36,,,7.7,1.31624,5.8378,8.69687,8.55788
74,17432842,886825,C1=CC=C(C=C1)CSCC(=O)NC2=CC(=CC=C2)F,Inactive,36,,,7.63,2.55405,9.5162,9.35337,4.01865
75,85148388,11068590,CCC[C@H]1CCCC/C=C\CCCC(=O)OCCN1C(=O)OC(C)(C)C,Inactive,36,,,7.62,3.30594,8.55799,3.18311,11.116
76,85148637,4021,CC1=NN(C(=O)C1)C2=CC=CC=C2,Inactive,36,,,7.6,1.68595,5.35185,8.03347,9.41251
77,57264995,2579763,CN(CC(=O)NC1=CC=CC=C1SC)C(=O)/C=C/C2=CC=CC=C2,Inactive,36,,,7.59,2.35417,6.6176,5.31579,10.8317
78,17401369,5206893,CNC(=S)N(CC1=CC=C(C=C1)OC)C2CC(=O)N(C2=O)C3=CC=C(C=C3)Cl,Inactive,35,,,7.54,1.43097,6.41144,6.64956,9.55903
79,56315083,9116668,COC1=CC=CC=C1CCNC(=O)CN2C(=O)C3(CCCC3)NC2=O,Inactive,35,,,7.54,2.60197,11.1524,5.13871,6.31724
80,144096912,60159017,C[C@H](C1=CC=CC=C1)NC(=O)C[C@H]2CC[C@H]3[C@H](O2)COC4=C(C=C(C=C4)NC(=O)NC5=CC=CC=C5)C(=O)N3C,Inactive,35,,,7.52,2.3199,10.7707,5.52499,6.25569
81,49817281,135550905,CC1=CC=[N+](C=C1)C2=C(SC(=O)N2)/C=N/N=C(/C3=CC=NC=C3)\[O-],Inactive,35,,,7.48,3.0243,3.96081,7.14137,11.3452
82,16952499,5138677,CCCCN1C2=C(C(=O)N(C1=O)CC(=O)NC3=CC(=C(C=C3)OC)Cl)N(C(=N2)CO)CCC,Inactive,35,,,7.46,2.98288,10.4979,3.40346,8.46416
83,26731722,3721614,C1=COC(=C1)C(=O)NNC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])N,Inactive,35,,,7.43,1.88066,9.73338,7.42758,5.12673
84,14724716,3090374,COC(=O)NC(C(Cl)(Cl)Cl)NC(=S)NC1=CC=C(C=C1)[N+](=O)[O-],Inactive,35,,,7.41,2.19947,5.81138,10.5202,5.89864
85,93576637,16218404,C1=CC2=C(C(=C1)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C(=O)C4=C([C@@H]2[C@@H]5C6=C(C(=CC=C6)OC7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)C(=O)C8=C5C=C(C=C8O)C(=O)O)C=C(C=C4O)C(=O)O,Inactive,35,,,7.41,1.17353,5.78872,8.53896,7.88803
86,7971189,1158578,C1COCCN1S(=O)(=O)C2=CC=C(C=C2)C(=O)NC3=CC(=CC=C3)F,Inactive,35,,,7.39,2.4725,10.1553,4.15263,7.85058
87,26670694,135752106,C1=CNC(=C1)/C=N/NC2=C(C=C(C=C2)S(=O)(=O)N)[N+](=O)[O-],Inactive,34,,,7.33,1.0254,7.60668,5.95512,8.41973
88,49713917,24789297,COC1=CC=C(C=C1)CNC(=O)C[C@@H]2[C@H](CN(C2=O)CC3=CC=C(C=C3)OC)CC4=CC=CC=C4,Inactive,34,,,7.17,0.364891,7.18111,7.61283,6.7192
89,7975205,2921570,CC1CCCN(C1)C(=O)C23CCC(C2(C)C)(C(=O)C3)C,Inactive,33,,,7.14,0.329429,7.21036,6.7014,7.49817
90,17516549,2527746,CC1=CC=CC=C1NC(=O)CNC2=CC(=C(C=C2)Cl)C(F)(F)F,Inactive,33,,,7.13,2.02817,9.78696,6.75301,4.86307
91,144090221,60157124,C[C@@H]1[C@]2(C[C@@H](C(=O)N(C2=C[C@@H](O1)COCC3=CC=CC=C3)CC4=CC=CC5=CC=CC=C54)CC(=O)N6CCCC6)C(=O)OC,Inactive,33,,,7.06,3.07673,7.85635,2.95124,10.3589
92,7973993,788149,CCOC(=O)/C(=C\1/C=CN(C=N1)C2=CC=CC=C2)/C#N,Inactive,33,,,7.04,0.997619,6.41015,6.26277,8.44888
93,22404823,4966398,C1=CC=C(C=C1)N=C2N(C(=O)C(S2)CC(=O)NC3=CC=CC=C3F)CCC4=CNC5=CC=CC=C54,Inactive,32,,,6.93,1.5436,7.97468,4.74797,8.06819
94,17414714,2950679,CC1=CC=CC=C1C(=O)NC(C)C2=CC3=C(CCCC3)C=C2,Inactive,32,,,6.91,2.93044,4.6979,11.0553,4.99022
95,851199,653764,COC1=CC=CC(=C1)C2(CCN(CC2)C(=O)C3CCC3)O,Inactive,32,,,6.91,4.5382,0.600694,9.01982,11.0965
96,49735696,20899366,C1=CC=C(C(=C1)CNC(=O)C2=CC=C(O2)CS(=O)CC3=CC=C(C=C3)Cl)Cl,Inactive,32,,,6.86,1.5433,4.68134,7.95715,7.95321
97,24830741,1536762,CC1=NN(C(=C1N=NC2=CN=CC=C2)N)C3=CC=CC=C3,Inactive,32,,,6.79,0.221309,6.49883,6.84211,7.03381
98,26669782,135400682,C1CC(=C(C(=O)C1)N=NC2=CC=C(C=C2)C(=O)O)O,Inactive,32,,,6.79,1.86698,7.74752,4.18026,8.44205
99,16952919,2380062,CC1=CC=C(C=C1)C2=N/C(=C\N(C)C)/C(=O)O2,Inactive,32,,,6.77,1.51123,8.73427,6.53182,5.0564
100,7974665,878566,CCN1C2=CC=CC=C2C(=C1O)C3=NCCCC3,Inactive,32,,,6.75,2.55914,9.18297,7.85479,3.21337
101,14720767,3131237,CC1=C(C=C(C=C1)[N+](=O)[O-])C2=C(N=C(N2)C3=CC(=C(C=C3)O)O)C4=CC=CC=C4,Inactive,32,,,6.72,1.01816,6.98194,7.82003,5.36675
102,850080,652589,CCC(C)NC1=NC2=C(N1CCC(C)C)C(=O)NC(=O)N2C,Inactive,31,,,6.72,1.62855,9.01005,5.37521,5.76934
103,144089469,60156494,C1[C@@H](N(S(=O)(=O)C2=C(O1)C=C(C=C2)Br)CC3=CN(N=N3)CC4=CC=CC=C4)CC5=CC=CC=C5,Inactive,31,,,6.58,1.30934,6.09166,8.37594,5.28412
104,144089319,53464100,C1CN(CCC1C(C2=CC=CC=C2)(C3=CC=CC=C3)O)CCCNC4=CC=C(C=C4)[N+](=O)[O-],Inactive,31,,,6.53,0.285323,6.90002,6.20771,6.471
105,14743723,350767,CCCCN1C=NC2=C1C(=O)NC(=O)N2CCCC,Inactive,31,,,6.52,0.952911,6.88859,5.21709,7.46378
106,24824329,16195716,CCC(C1=CC=CC=C1)C(=O)NCCC[C@H]2CN3[C@H](CN=C3N2CCC4=CC(=C(C=C4)Cl)Cl)C5CCCCC5,Inactive,30,,,6.4,3.20524,7.97153,9.29428,1.93076
107,89855385,247157,C1=CC=C(C=C1)CN(CC2=CC=CC=C2)C(=O)C3=CC=C(C=C3)[N+](=O)[O-],Inactive,30,,,6.36,1.38753,7.87746,6.69047,4.52591
108,26730279,9583775,C1=CC=C(C=C1)N2C(=C(C=N2)C(=O)N/N=C/C3=CC=C(C=C3)[N+](=O)[O-])N,Inactive,30,,,6.33,2.31763,8.58813,3.14522,7.26396
109,859503,660801,CC1=C2COC(CC2=C(C(=N1)OCC(=O)OC)C#N)(C)C,Inactive,29,,,6.25,10.4853,11.6425,15.5113,-8.41204
110,50085435,6763,C1=CC=C2C(=C1)C3=CC=CC=C3C(=O)C2=O,Inactive,29,,,6.23,2.47455,8.28757,7.65206,2.74942
111,57256533,16349596,C1CN(CCN1CC2=CC=CC=C2)C3=CC=C(C=C3)NC(=O)CCS(=O)(=O)C4=CC=CC=C4F,Inactive,29,,,6.2,0.393688,6.71962,5.76807,6.10831
112,89854429,261765,CC(=O)N(C)C1=CC=C(C=C1)N=NC2=CC3=C(C=C2)N=CC=C3,Inactive,29,,,6.18,1.55064,4.03101,7.62656,6.88906
113,49721794,20924246,CC1=C(C(=CC=C1)C)N2C(=C(C=N2)C(=O)NC3CCCC3)C4CCNCC4,Inactive,29,,,6.16,2.45101,3.27611,5.92657,9.26662
114,14742456,763503,C1CN=C(C=C(N1)C(F)(F)F)C2=CC=C(C=C2)Cl,Inactive,29,,,6.15,1.14106,4.96445,7.68981,5.79011
115,22409802,2314493,CC1=C(N2C=CC=CC2=C1C(=O)C3=CC(=CC=C3)[N+](=O)[O-])CCC#N,Inactive,29,,,6.14,3.64535,2.97417,4.20721,11.2496
116,57269041,25163860,CN(C1CCS(=O)(=O)C1)C(=O)COC2=CC=CC(=C2)C#N,Inactive,28,,,6.08,3.07818,3.01109,10.2853,4.92977
117,17504618,694053,C1=CC(=CC=C1N=NC2=C(NN=C2N)N)Cl,Inactive,28,,,6.03,0.528787,5.61162,5.71089,6.77968
118,143472125,60138114,CC1=CC=C(C=C1)OCCN2C3=CC=CC=C3N=C2CCNC(=O)C4CCCCCC4.C(=O)(C(F)(F)F)O,Inactive,28,,,6.02,3.15685,3.04598,10.3913,4.62555
119,24827685,9684156,C1CCN(C1)C2=C(C=C(C=C2)/C=N/NC(=O)C3=CN=CC=C3)[N+](=O)[O-],Inactive,28,,,6.02,0.665897,6.84279,5.21211,5.99526
120,24824233,16195671,CC(C)[C@H]1CN=C2N1C[C@H](N2CCNC(=O)CCC3CCCCC3)CC4=CC=C(C=C4)O,Inactive,28,,,5.97,4.25647,0.752638,11.1788,5.98607
121,56422016,25102316,CCC(C)[C@@H](C1=CN(N=N1)[C@@H](CCCCN)C(=O)N2CCN(CC2)C3=NC(=NC(=N3)NCCOCCOCCOCC#C)N4CCN(CC4)C(=O)[C@H](CCCCN)N5C=C(N=N5)[C@H](C(C)CC)N)N.Cl,Inactive,28,,,5.95,1.6735,4.87309,8.31299,4.66223
122,17503945,2940358,CC1=CC=C(C=C1)CC(=O)NC2=C(C=C(C=C2)OC)[N+](=O)[O-],Inactive,28,,,5.9,1.13523,4.30041,6.76074,6.65282
123,56315672,16250266,CC1=C(N=CC=C1)NC(=O)C2=CC=C(C=C2)S(=O)(=O)N3CCCCC3,Inactive,28,,,5.9,0.54291,5.84196,5.26738,6.59331
124,22408088,2089572,C1=CC=C(C(=C1)SCCC(=O)NC2=CC(=CC=C2)[N+](=O)[O-])Cl,Inactive,28,,,5.89,2.2794,6.6176,8.24817,2.80834
125,56316914,16531103,CC(C(=O)NCC1=CC2=C(C=C1)OCO2)OC(=O)C3=CC(=CC=C3)NC(=O)C,Inactive,27,,,5.86,0.149382,5.99994,5.64968,5.91649
126,17402488,3701150,CC(=O)C1=CC(=C(C=C1)N2CCC(CC2)C3=CC(=NN3)C4=C(C=C(C=C4)Cl)Cl)[N+](=O)[O-],Inactive,27,,,5.82,1.25688,4.31545,5.75418,7.39201
127,85303729,2200234,CCCCOC1=CC=CC(=C1)C(=O)NC2=CC=C(C=C2)N3CCN(CC3)CC,Inactive,27,,,5.82,1.26619,4.25327,7.35453,5.83913
128,87335568,2998820,CN=C1N(C(=O)C(S1)CC(=O)NCCC2=CC(=C(C=C2)OC)OC)C,Inactive,27,,,5.8,1.89754,5.65595,3.54501,8.18669
129,24831134,3675550,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)OC)S(=O)(=O)N3CCCCCC3,Inactive,27,,,5.8,2.32302,2.55947,7.90353,6.92402
130,17506334,5736923,C1=CSC(=C1)/C=C/C(=O)NC2=CC=C(C=C2)[N+](=O)[O-],Inactive,27,,,5.77,2.02351,2.93724,6.82854,7.54166
131,856993,658353,COC1=CC=CC=C1N2C=NC(=C2C(=O)C3=CC=CC=C3)N,Inactive,27,,,5.73,2.37121,2.44163,6.79977,7.94587
132,17516683,3514126,COC1=CC=CC=C1NS(=O)(=O)C2=CC(=C(C=C2)NN=C3CCCCC3)[N+](=O)[O-],Inactive,27,,,5.69,2.95353,9.36574,2.13451,5.55806
133,24817540,1478026,CC1=CC=C(C=C1)C2=NN(C(=C2)N)C3=CC=C(C=C3)F,Inactive,26,,,5.67,2.1518,2.68752,6.63582,7.68563
134,17414742,1616139,CC1=C(C=C(C=C1)NC(=O)CCC(=O)OCC(=O)C2=CC=C(C=C2)OC3=CC=C(C=C3)[N+](=O)[O-])C,Inactive,26,,,5.64,3.44281,7.04137,0.901633,8.97811
135,49676423,4114494,CC1=C(C(=O)N(N1)C2=CC=CC=C2)C(C[N+](=O)[O-])C3=CC=C(C=C3)OC,Inactive,26,,,5.62,1.86741,5.99094,3.164,7.69174
