PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Qualifier,IC50,LogIC50,Maximal Response,Baseline Response,Inflection Point Concentration,Chi Square,Rsquare,Number of DataPoints,Hill Slope,Response Range,Excluded Points,Inhibition at 0.0062 uM [1],Inhibition at 0.0062 uM [2],Inhibition at 0.0062 uM [3],Inhibition at 0.0062 uM [4],Inhibition at 0.0062 uM [5],Inhibition at 0.0062 uM [6],Inhibition at 0.019 uM [1],Inhibition at 0.019 uM [2],Inhibition at 0.019 uM [3],Inhibition at 0.019 uM [4],Inhibition at 0.019 uM [5],Inhibition at 0.019 uM [6],Inhibition at 0.056 uM [1],Inhibition at 0.056 uM [2],Inhibition at 0.056 uM [3],Inhibition at 0.056 uM [4],Inhibition at 0.056 uM [5],Inhibition at 0.056 uM [6],Inhibition at 0.17 uM [1],Inhibition at 0.17 uM [2],Inhibition at 0.17 uM [3],Inhibition at 0.17 uM [4],Inhibition at 0.17 uM [5],Inhibition at 0.17 uM [6],Inhibition at 0.5 uM [1],Inhibition at 0.5 uM [2],Inhibition at 0.5 uM [3],Inhibition at 0.5 uM [4],Inhibition at 0.5 uM [5],Inhibition at 0.5 uM [6],Inhibition at 1.5 uM [1],Inhibition at 1.5 uM [2],Inhibition at 1.5 uM [3],Inhibition at 1.5 uM [4],Inhibition at 1.5 uM [5],Inhibition at 1.5 uM [6],Inhibition at 4.5 uM [1],Inhibition at 4.5 uM [2],Inhibition at 4.5 uM [3],Inhibition at 4.5 uM [4],Inhibition at 4.5 uM [5],Inhibition at 4.5 uM [6],Inhibition at 13.6 uM [1],Inhibition at 13.6 uM [2],Inhibition at 13.6 uM [3],Inhibition at 13.6 uM [4],Inhibition at 13.6 uM [5],Inhibition at 13.6 uM [6],Inhibition at 40.8 uM [1],Inhibition at 40.8 uM [2],Inhibition at 40.8 uM [3],Inhibition at 40.8 uM [4],Inhibition at 40.8 uM [5],Inhibition at 40.8 uM [6],Inhibition at 122.5 uM [1],Inhibition at 122.5 uM [2],Inhibition at 122.5 uM [3],Inhibition at 122.5 uM [4],Inhibition at 122.5 uM [5],Inhibition at 122.5 uM [6]
109,26671137,1976940,C1=CC=C2C(=C1)N=C3N2C(=O)/C(=C\C4=CC=C(O4)C5=CC(=CC=C5)C(=O)O)/S3,Inactive,0,,,>,122.487,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,7.7,2.7,9.3,,,,-1.9,8.6,6.4,,,,-2.9,7.5,0.1,,,,-10.1,-6.6,-6.3,,,,-25.6,-26.2,-20.5,,,,-77.8,-74.1,-74.4,,,,-220.6,-225.3,-206.9,,,,-536.9,-565,-544.1,,,,-884.9,-918.8,-963.7,,,,-1417.3,-1474.8,-1539.9,,,
110,56315966,16362984,CN(CCC1=CC(=C(C=C1)OC)OC)C(=O)CN2C(=O)C3(CCCC4=CC=CC=C43)NC2=O,Inactive,0,,,>,122.49,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2.3,2.1,0,,,,0.1,-3,1.2,,,,1.6,-5.1,-2.7,,,,1.4,-1.8,-2,,,,-6.1,-7.8,-2,,,,-3,-8.2,-5.5,,,,-1.8,-4.5,5.9,,,,-7.7,-1.5,-3.1,,,,-5.6,-0.9,-2.9,,,,0.9,-1.9,-3.2,,,
111,56314674,54685047,CN(C)[C@H]1[C@@H]2[C@H]([C@@H]3C(=C)C4=C(C(=CC=C4)O)C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O.Cl,Inactive,0,,,>,122.49,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-3.9,0.9,-8.6,,,,-6.7,-2.6,-8.6,,,,-8,-2.6,-8.1,,,,-4.9,-5.9,-3.5,,,,-10.6,-9.5,-15.7,,,,-30.4,-33.7,-32,,,,-79.5,-86.3,-81.2,,,,-220.6,-222.9,-241.1,,,,-641.3,-576.5,-580.8,,,,-1355,-1536.9,-1403.6,,,
112,24800875,773112,CC1=CC=C(O1)/C=C\2/C(=O)C3=C(C2=O)C=C(C=C3)C(=O)O,Inactive,0,,,>,122.49,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-8.3,-0.7,5.2,,,,0.5,-0.3,-7,,,,-2.6,0,-4.1,,,,0.3,-6.2,-7.5,,,,1.4,1.9,-3.3,,,,-1.9,-1.1,-2.4,,,,-1,-0.1,0.1,,,,-3.6,-3.6,-5.4,,,,-23.2,-17.5,-19.8,,,,-105.6,-108.3,-99.8,,,
113,22404823,4966398,C1=CC=C(C=C1)N=C2N(C(=O)C(S2)CC(=O)NC3=CC=CC=C3F)CCC4=CNC5=CC=CC=C54,Inactive,0,,,>,122.491,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-3.5,-7.1,-8.4,,,,-5.5,-8.6,-12.1,,,,-11.4,-7,-12.3,,,,-12.6,-4.6,-41,,,,-7.5,-5.6,-6.3,,,,-9.4,-9.6,-5.6,,,,-2.1,7.6,5,,,,5.5,10.4,7.3,,,,-2.3,0.8,-9.3,,,,-59.2,-49.8,-49.9,,,
114,14742430,6375556,CC(C(=O)O)N1C(=O)/C(=C/C=C/C2=CC=CO2)/SC1=S,Inactive,0,,,>,122.491,-3.912,,,,,,60,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-18.6,2.9,0.5,-0.9,-10.7,-8.7,-5.7,-23,-5,-6.4,-4.2,-3.6,-19.8,-2.4,-0.5,-9,-1.6,-10.8,-7.9,-7.5,-27.2,-2.2,1.3,-7,-5.6,-2.4,-19.5,-1,-2.8,-5.9,-3.3,0,-20.9,0.4,-2.3,-6.3,10.3,-11.6,6.7,8.3,4.2,6.9,-13.5,6,11,27.2,26.7,31.9,-14.6,-33.1,-18.3,29.6,29.8,41.1,-104,-124.8,-106.1,-36.3,-18,-36
115,57267250,25163304,CCN(C1=C(N(C(=O)NC1=O)CC2=CC=CC=C2)N)C(=O)COC(=O)C3=CC=C(C=C3)C=O,Inactive,0,,,>,122.492,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-5.5,-2.6,-3.9,,,,1.1,-1.6,-5.7,,,,-4.9,-6.2,-6.2,,,,-13.9,-7.6,-0.3,,,,-3.6,-5.5,-8.6,,,,-2.8,1.3,-1.5,,,,-4.7,-3.1,-1.3,,,,4.6,-1.1,8,,,,1.1,-1.4,-1.9,,,,-28.9,-37.4,-27.8,,,
116,17409778,4358481,C1=CC=C(C(=C1)NC(=O)CS(=O)C2=CC(=CC=C2)Cl)Cl,Inactive,0,,,>,122.493,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4.2,3.3,0.9,,,,4.6,1.8,-0.8,,,,1.6,4.6,3.2,,,,0.2,-1.4,0.4,,,,5.7,1.3,-2.6,,,,0.6,1.7,-3.7,,,,4.1,1.5,4.6,,,,5.1,3.7,0.8,,,,11.4,12.2,10.8,,,,29.7,27.3,26.2,,,
117,144097035,54654643,CN1[C@H]2CC[C@@H](O[C@@H]2COC3=C(C1=O)C=C(C=C3)NC(=O)NC4=CC=CC=C4F)CC(=O)NCC5=CC=C(C=C5)C6=CC=CC=C6,Inactive,0,,,>,122.493,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-0.4,-2.6,-5.4,,,,-6.6,-3.2,-3.3,,,,-3.6,-2.3,-3.2,,,,-4.4,2.4,-1.9,,,,-1.9,-1.4,2.7,,,,2,-1,6.9,,,,8.2,6.3,3.7,,,,19.6,18.7,19,,,,32.6,35.3,31.5,,,,23.6,27.6,23.8,,,
118,7970286,2157548,CN1C=C(C2=CC=CC=C21)S(=O)(=O)CC(=O)N3CCC4=CC=CC=C43,Inactive,0,,,>,122.493,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0,2.4,2.7,,,,2.6,5.2,-1.2,,,,0.2,-10.1,2.8,,,,1.6,2.2,2.2,,,,-0.9,2,5.7,,,,-30.9,4.6,2.2,,,,4.2,3.8,6.7,,,,3.6,8.1,8.8,,,,12.3,7.3,11.3,,,,11.6,14.9,11.9,,,
