PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
74,124969263,188318,C1CNCCNCCN1,Unspecified,,,,Inhibition,=,25,%,
75,124971246,68092,C1=CC=C2C(=C1)C=CN=C2C(=O)O,Unspecified,,,,Inhibition,=,18,%,
76,124971556,66582,C1=CC2=C(C(=C1)C(=O)O)N=CC=C2,Unspecified,,,,Inhibition,=,23,%,
77,124971859,673664,CC1=CC(=NC(=S)N1)C,Unspecified,,,,Inhibition,=,80,%,
78,124971860,12283,CC1=CC(=O)NC(=O)N1,Unspecified,,,,Inhibition,=,24,%,
79,124971922,74328,CC(=O)C(C(=O)C)Cl,Unspecified,,,,Inhibition,=,52,%,
80,124972309,11355488,C1=COC=C(C1=S)O,Unspecified,,,,Inhibition,=,94,%,
81,124974444,593919,C1=CC(=NC(=C1)Br)C(=O)O,Unspecified,,,,Inhibition,=,29,%,
82,124974445,542567,CC1=NC(=C(C=C1)C(=O)O)C(=O)O,Unspecified,,,,Inhibition,=,22,%,
83,124974446,135408640,CC1=CC(=O)NC(=N1)C,Unspecified,,,,Inhibition,=,26,%,
84,124974447,4196858,CC1=C(C(=S)C=CO1)O,Unspecified,,,,Inhibition,=,91,%,
85,124974496,20463660,CC1=C(C(=O)C(=CO1)O)C(=O)O,Unspecified,,,,Inhibition,=,80,%,
86,124974497,5788,CC1=CC(=C(C=C1)C(=O)O)O,Unspecified,,,,Inhibition,=,17,%,
87,124974498,67661,C1=CC(=C(C=C1F)O)C(=O)O,Unspecified,,,,Inhibition,=,31,%,
88,124974499,68443,C1=CC(=C(C(=C1)N)O)C(=O)O,Unspecified,,,,Inhibition,=,72,%,
89,136943191,1570,C1=CC(=S)N(C=C1)O,Unspecified,,,,Inhibition,=,70,%,
