PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Units,Activity Comment
11,475983490,66702427,COC1=CC(=CC(=C1O)OC)CCC(=O)OCCC2=CC=CC=C2,Active,,,Potential missing data,Inhibition,%,Active
12,475984435,13436195,COC1=CC(=CC(=C1O)OC)/C=C/COCC2=CC=CC=C2,Active,,,Potential missing data,Inhibition,%,Active
13,475985525,166629083,COC1=CC(=CC(=C1O)OC)/C=C/C(=O)OCCC2=CC(=CC=C2)F,Active,,,Potential missing data,Inhibition,%,Active
14,475986194,166629414,COC1=CC(=CC(=C1O)OC)/C=C/C(=O)OCC#C,Active,,,Potential missing data,Inhibition,%,Active
15,475988626,166630582,COC1=CC=C(C=C1)CCOC(=O)/C=C/C2=CC(=C(C(=C2)OC)O)OC,Active,,,Potential missing data,Inhibition,%,Active
16,475988802,166630671,CC1=CC=CC=C1CCOC(=O)/C=C/C2=CC(=C(C(=C2)OC)O)OC,Active,,,Potential missing data,Inhibition,%,Active
17,475988829,77105344,CC(=O)OC1=C(C=C(C=C1OC)/C=C/C(=O)OCCC2=CC=CC=C2)OC,Active,,,Potential missing data,Inhibition,%,Active
18,475988961,138582482,COC1=CC(=CC(=C1O)OC)/C=C/C2=NC(=NO2)CC3=CC=CC=C3,Active,,,Potential missing data,Inhibition,%,Active
19,475989269,166630929,COC1=CC(=CC(=C1O)OC)/C=C/C(=O)OCCC2=CC=CC=C2C(F)(F)F,Active,,,Potential missing data,Inhibition,%,Active
20,475990218,166631407,COC1=CC(=CC(=C1O)OC)C(=O)OCCC2=CC=CC=C2,Inactive,,,Potential missing data,Inhibition,%,Not Active
21,475991453,166632012,COC1=CC(=CC(=C1O)OC)/C=C/C(=O)OCCC2=CC=CC=C2F,Active,,,Potential missing data,Inhibition,%,Active
22,475991859,138582056,COC1=CC(=CC(=C1O)OC)/C=C/COCCCC2=CC=CC=C2,Active,,,Potential missing data,Inhibition,%,Active
23,475992548,166632545,COC1=CC(=CC(=C1O)OC)/C=C/C(=O)OCCC2=CC(=CC=C2)C(F)(F)F,Active,,,Potential missing data,Inhibition,%,Active
24,475992709,101993997,COC1=CC(=C(C=C1)OC)/C=C/C(=O)OCCC2=CC=CC=C2,Inactive,,,Potential missing data,Inhibition,%,Not Active
25,475993122,59906308,CCCOC(=O)/C=C/C1=CC(=C(C(=C1)OC)O)OC,Active,,,Potential missing data,Inhibition,%,Active
26,475994466,11267401,COC1=CC(=CC(=C1O)OC)/C=C/C(=O)NCCC2=CC=CC=C2,Inactive,,,Potential missing data,Inhibition,%,Not Active
27,475994798,138583146,COC1=CC(=CC(=C1O)OC)/C=C/C2=NC(=NO2)CCC3=CC=CC=C3,Active,,,Potential missing data,Inhibition,%,Active
28,475994982,166633747,COC1=CC(=CC(=C1O)OC)/C=C/C(=O)OCCC2=CC=C(C=C2)F,Active,,,Potential missing data,Inhibition,%,Active
29,475995093,166633801,COC1=CC(=CC(=C1O)OC)/C=C/C(=O)OCCC2=CC=C(C=C2)C(F)(F)F,Active,,,Potential missing data,Inhibition,%,Active
30,475995427,166633970,CC1=CC(=CC=C1)CCOC(=O)/C=C/C2=CC(=C(C(=C2)OC)O)OC,Active,,,Potential missing data,Inhibition,%,Active
31,475995506,166634008,COC1=CC(=CC(=C1O)OC)/C=C/C(=O)OCCC2CCCCC2,Active,,,Potential missing data,Inhibition,%,Active
32,475995874,166634201,COC1=CC=CC=C1CCOC(=O)/C=C/C2=CC(=C(C(=C2)OC)O)OC,Active,,,Potential missing data,Inhibition,%,Active
33,475996304,14839270,COC1=CC(=CC(=C1O)OC)/C=C/C(=O)CCC2=CC=CC=C2,Active,,,Potential missing data,Inhibition,%,Active
34,475996403,11021820,CC(C)OC(=O)/C=C/C1=CC(=C(C(=C1)OC)O)OC,Inactive,,,Potential missing data,Inhibition,%,Not Active
35,475997033,166634760,COC1=CC=CC(=C1)CCOC(=O)/C=C/C2=CC(=C(C(=C2)OC)O)OC,Active,,,Potential missing data,Inhibition,%,Active
36,476000726,166636615,COC1=CC(=CC(=C1O)OC)CC(=O)OCCC2=CC=CC=C2,Inactive,,,Potential missing data,Inhibition,%,Not Active
