PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Qualifier,IC50,LogIC50,Maximal Response,Baseline Response,Inflection Point Concentration,Chi Square,Rsquare,Number of DataPoints,Hill Slope,Response Range,Excluded Points,Inhibition at 0.0062 uM [1],Inhibition at 0.0062 uM [2],Inhibition at 0.0062 uM [3],Inhibition at 0.0062 uM [4],Inhibition at 0.0062 uM [5],Inhibition at 0.0062 uM [6],Inhibition at 0.019 uM [1],Inhibition at 0.019 uM [2],Inhibition at 0.019 uM [3],Inhibition at 0.019 uM [4],Inhibition at 0.019 uM [5],Inhibition at 0.019 uM [6],Inhibition at 0.056 uM [1],Inhibition at 0.056 uM [2],Inhibition at 0.056 uM [3],Inhibition at 0.056 uM [4],Inhibition at 0.056 uM [5],Inhibition at 0.056 uM [6],Inhibition at 0.17 uM [1],Inhibition at 0.17 uM [2],Inhibition at 0.17 uM [3],Inhibition at 0.17 uM [4],Inhibition at 0.17 uM [5],Inhibition at 0.17 uM [6],Inhibition at 0.5 uM [1],Inhibition at 0.5 uM [2],Inhibition at 0.5 uM [3],Inhibition at 0.5 uM [4],Inhibition at 0.5 uM [5],Inhibition at 0.5 uM [6],Inhibition at 1.5 uM [1],Inhibition at 1.5 uM [2],Inhibition at 1.5 uM [3],Inhibition at 1.5 uM [4],Inhibition at 1.5 uM [5],Inhibition at 1.5 uM [6],Inhibition at 4.5 uM [1],Inhibition at 4.5 uM [2],Inhibition at 4.5 uM [3],Inhibition at 4.5 uM [4],Inhibition at 4.5 uM [5],Inhibition at 4.5 uM [6],Inhibition at 13.6 uM [1],Inhibition at 13.6 uM [2],Inhibition at 13.6 uM [3],Inhibition at 13.6 uM [4],Inhibition at 13.6 uM [5],Inhibition at 13.6 uM [6],Inhibition at 40.8 uM [1],Inhibition at 40.8 uM [2],Inhibition at 40.8 uM [3],Inhibition at 40.8 uM [4],Inhibition at 40.8 uM [5],Inhibition at 40.8 uM [6],Inhibition at 122.5 uM [1],Inhibition at 122.5 uM [2],Inhibition at 122.5 uM [3],Inhibition at 122.5 uM [4],Inhibition at 122.5 uM [5],Inhibition at 122.5 uM [6]
6,93576637,16218404,C1=CC2=C(C(=C1)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C(=O)C4=C([C@@H]2[C@@H]5C6=C(C(=CC=C6)OC7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)C(=O)C8=C5C=C(C=C8O)C(=O)O)C=C(C=C4O)C(=O)O,Inactive,0,,,=,108.765,-3.964,1877.58,-0.279713,22309,2145.23,0.786792,60,0.674924,1877.86,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-1.2,1.4,-0.1,0.4,-1,3.6,-2.9,0.5,0.1,1.3,2.6,3.3,-4.5,3,-2.1,-5,2,2.2,4.8,0.4,-1.2,-1,-2.7,-1.5,-1.3,0,-4.6,3.3,3.2,-0.5,-0.7,3.2,-2.6,3.5,8.6,3.7,3.9,1.4,0,10.9,12,12.6,8.4,-1.6,3.9,20.9,17.7,22.7,8.2,12,22.8,39.5,42.1,31.3,23.6,34.4,25.3,78.1,83.9,79.2
7,24837215,5680788,C1=CC=C2C(=C1)/C(=N\S(=O)(=O)C3=CC=CS3)/C=C(C2=O)NC4=CC=C(C=C4)O,Inactive,0,,,>,40.819,-4.389,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-0.7,-2.1,-1.7,,,,-0.6,-1.2,0.2,,,,0.5,3.4,1.2,,,,1.7,7.5,1,,,,3.8,2.8,4.6,,,,2.9,8.7,5.8,,,,7.5,7.5,9.8,,,,11.6,14.3,11.5,,,,23.5,25.5,23.4,,,,50.1,52.3,54,,,
8,57264392,360404,C1=CC=C(C(=C1)C2=C3C=CC(=O)C(=C3OC4=C2C=CC(=C4O)O)O)S(=O)(=O)O,Inactive,0,,,>,40.822,-4.389,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4.1,0.6,0.5,,,,1.9,0.3,0.4,,,,-1.8,-8.5,-3.5,,,,-4.4,-3.7,-0.8,,,,8.3,12.2,4.3,,,,12.6,12.2,8.4,,,,18.1,21.7,17.5,,,,22.5,28.8,30,,,,40.5,38.1,40.9,,,,70.7,69.7,69.8,,,
9,121283576,340219,C1=CC=C(C(=C1)S(=O)(=O)CS(=O)(=O)C2=CC=CC=C2Br)Br,Inactive,0,,,>,122.333,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-0.3,-3.4,1.3,,,,4.9,2,-0.5,,,,-3.1,-1.3,2.8,,,,3.3,-0.8,2.2,,,,2.2,5.9,1.2,,,,0.2,-1.3,2.1,,,,-1.7,0.5,2.4,,,,2.4,6.1,-2.3,,,,1,-0.5,-1.4,,,,5.4,2.6,7.4,,,
10,24823069,4014500,C1=CC(=CC(=C1)N=NC2=CC(=C(C=C2)O)C=O)C(=O)O,Inactive,0,,,>,122.34,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-0.7,0,-1.1,,,,-6,-6.6,-0.2,,,,-2.1,0.6,-8.8,,,,-2.6,0.3,-3.3,,,,2.3,-7.9,-5,,,,-1.3,-1.9,-2.3,,,,-3.2,3.7,-0.5,,,,-0.6,2.1,0.8,,,,6.8,6.4,1.7,,,,18,17.6,21.4,,,
11,14728009,4129448,CCCCNC(=S)NNC(=O)C1=CSC(=C1)CC,Inactive,0,,,>,122.355,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,3.1,0.7,4.6,,,,1.6,1,3.2,,,,4.1,4.3,0.8,,,,2.5,2.1,-1.1,,,,3.9,6.9,0.6,,,,8.6,6.5,3.4,,,,5.5,7.4,6.3,,,,18.2,15.2,15.4,,,,18.2,20.1,22.3,,,,24.9,22.7,26.5,,,
12,26725225,5388680,C1=C(C=C(C(=C1O)O)O)/C=C(\C#N)/C(=O)N,Inactive,0,,,>,122.371,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-3.5,-1.9,-1.7,,,,-0.9,-0.5,0.7,,,,0.4,-5,1.1,,,,-1.6,3.7,2.2,,,,3.7,-2.6,-3.7,,,,-4.1,1.1,0.4,,,,-2.1,1.2,0.3,,,,-4,-0.4,-3.8,,,,-2.4,-8.6,-5.8,,,,-9.4,-18.7,-11.8,,,
13,89854589,240739,C1=CC2=C(C=C1S(=O)(=O)N)C(=O)C(=C(C2=O)Cl)N,Inactive,0,,,>,122.373,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-1.7,-1.9,-2.1,,,,2.3,-1.8,-0.8,,,,-0.3,0,4.5,,,,4,0.2,3,,,,2.4,2.9,1.8,,,,5.2,8.1,4.3,,,,6.6,3,2.1,,,,0.5,1.8,0.1,,,,-7.4,-8.5,-5,,,,-44.3,-39.4,-40.3,,,
14,143472100,46742345,CC(C)(C)C1=CC=C(C=C1)CNC2=C(N=NC(=N2)C3=CC=CC=N3)C4=CC=CC=C4,Inactive,0,,,>,122.38,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-7.7,-2.4,-5.4,,,,1.2,-2.8,1.2,,,,-3.5,-1.1,-3.8,,,,-2.8,4,0.3,,,,-0.8,-11.6,2.3,,,,5.3,-0.3,5.1,,,,6.3,4.1,9,,,,15.4,11.5,13.3,,,,9.2,6.3,6,,,,7.4,4.3,3.2,,,
15,22414897,11841616,COC1=CC=CC=C1N2C(=NC3=CC=CC=C3C2=O)CNCC4CCCO4,Inactive,0,,,>,122.382,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2.1,-0.7,-4.9,,,,1.2,-1.8,-5.3,,,,-1.2,-2.5,-6.2,,,,-1.5,-7.2,-2.1,,,,-9.6,-6.5,-1.2,,,,-5.2,-0.9,-4,,,,-5.7,-3.8,1.4,,,,-8,-5.9,-3.7,,,,-6.7,-7.7,-4.3,,,,-18,-13.2,-11.2,,,
16,49644808,1104030,CCOC1=CC=CC(=C1)C(=O)NC2=CC(=C(C=C2)NC(=O)C3=CC=CC=C3)C,Inactive,0,,,>,122.382,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-1.2,2.8,-0.8,,,,2.9,6.1,-0.1,,,,-1.2,3.6,3.4,,,,0.7,2.8,0.3,,,,1,5.9,-0.3,,,,13.7,13.7,9.3,,,,17.5,13.4,18.6,,,,17.6,12.4,20,,,,20,21.1,24,,,,-170.2,-165.7,-155.2,,,
17,87335568,2998820,CN=C1N(C(=O)C(S1)CC(=O)NCCC2=CC(=C(C=C2)OC)OC)C,Inactive,0,,,>,122.383,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-3.4,-0.5,-1.4,,,,-5.2,-2.8,2.5,,,,3.6,-1.6,-2.8,,,,1.8,-3.2,-2.9,,,,-0.5,3.5,0,,,,-4.4,-0.5,-3.3,,,,-0.3,-1.5,1.8,,,,-4.4,-1.2,0.3,,,,-1.4,-1.6,1.5,,,,-3.7,-6,-4.8,,,
18,92764077,97167,C1=CC(=C(C=C1O)O)N=NC2=C(C(=CC(=C2)Cl)S(=O)(=O)O)O,Inactive,0,,,>,122.387,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-13.7,-9.2,-6.5,,,,-7.4,-8.6,-9,,,,-11.3,-9.8,-16.8,,,,-18.3,-17.1,-16.6,,,,-48.2,-40.5,-46.7,,,,-101.1,-100.3,-100.8,,,,-139.4,-134.8,-143.1,,,,-136.7,-141.2,-131,,,,-110,-102.4,-116.1,,,,-52.6,-49.8,-51.9,,,
19,24809736,726126,CS(=O)(=O)C1=NC(=NN1)C2=CC=C(C=C2)Br,Inactive,0,,,>,122.387,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1.8,-1,-4.8,,,,-2,-2,-5.5,,,,0.5,-1.5,-7,,,,-4.2,-1.5,0.1,,,,-3.5,-0.3,-0.9,,,,0.2,-0.9,-1.6,,,,-1.5,2.7,1.9,,,,0.4,-7.2,-4.1,,,,-7.7,-7.5,-8.2,,,,-14.1,-14.9,-15.7,,,
20,24814953,1562044,COC1=NC(=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)CN3C(=O)C4=CC=CC=C4C3=O)OC,Inactive,0,,,>,122.387,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0.6,0.6,-1,,,,1.1,0.9,4.4,,,,3.6,-1.3,-0.3,,,,5.2,1.8,4.1,,,,5.6,7.9,4.5,,,,7.9,12.4,10.3,,,,5.4,10.7,7.2,,,,14.4,10.6,15.4,,,,17.3,13.9,-195.3,,,,13.2,17.2,16.6,,,
21,49669785,2770851,CC1=CC=C(C=C1)C23CC4CC(C2)CC(C4)(C3)C(=O)NCC(=O)O,Inactive,0,,,>,122.392,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2.4,-2.3,0.9,,,,-2.1,-3.4,-0.2,,,,0.6,0,-4.4,,,,2.2,-5.5,1.8,,,,0.8,-0.6,-1.4,,,,-5.6,2.4,-1.7,,,,-1.6,-6.2,-1.6,,,,-4.2,-0.2,0.9,,,,-3.3,-4.5,1.6,,,,-8.6,-9.7,-11.5,,,
22,24822755,4085011,C1=CC=C2C(=C1)C(=O)N(C(=O)N2)C3=C(C=C(C=C3)Cl)Cl,Inactive,0,,,>,122.403,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0.6,1.9,0.2,,,,0.9,-0.4,1.4,,,,0.1,-0.5,3.1,,,,-0.5,0.6,2.3,,,,4.6,6.3,1.2,,,,4.1,3.7,6.1,,,,6.1,14.5,6.8,,,,12.9,13.7,14.7,,,,12.3,16.3,14,,,,3.7,2.9,2.6,,,
23,50086733,16396156,CC[NH+](CC)CC.C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)[O-])O)O)N,Inactive,0,,,>,122.405,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1.9,5.8,-0.5,,,,4.8,-1.7,1.7,,,,5.5,4.7,4.4,,,,8.9,7.5,7.9,,,,8.3,5.8,7.3,,,,3,1.9,6.1,,,,4.7,1.3,5.1,,,,2.9,4.6,0.5,,,,0.9,-1.9,-15,,,,0.3,1.2,4.3,,,
24,49666452,2765106,CN(C1C(COC2=C1C3=CC=CC=C3C=C2)CO)C(=O)C4=CC=CC=C4,Inactive,0,,,>,122.405,-3.912,,,,,,30,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-1.7,-8.3,-3.3,,,,-7.2,2.2,-5.2,,,,-0.7,-4.9,-7.3,,,,-0.6,-5.7,-4.3,,,,0.1,-1.7,-0.6,,,,0.8,-1.5,1.8,,,,0.4,1,3.5,,,,7.9,7,6.5,,,,6.6,7.3,8.7,,,,1.5,13.5,2.5,,,
